Position,Driver,Laps,Best Lap,Last Lap,Battery %,Tire Deg %,Overtakes,Status
1,Driver 1,2,90.000,90.000,100.0,100.0,0,Retired
2,Driver 2,0,N/A,N/A,100.0,100.0,0,Retired
3,Driver 3,1,90.000,90.000,100.0,100.0,0,Retired
4,Driver 4,0,N/A,N/A,100.0,51.6,0,Retired
5,Driver 5,2,90.000,90.000,100.0,100.0,0,Retired
6,Driver 6,1,90.000,90.000,100.0,100.0,0,Retired
7,Driver 7,1,90.000,90.000,100.0,100.0,0,Retired
8,Driver 8,0,N/A,N/A,100.0,3.3,0,Retired
9,Driver 9,3,90.000,90.000,100.0,100.0,0,Retired
10,Driver 10,0,N/A,N/A,100.0,100.0,0,Retired
11,Driver 11,1,90.000,90.000,100.0,100.0,0,Retired
12,Driver 12,1,90.000,90.000,100.0,100.0,0,Retired
13,Driver 13,0,N/A,N/A,100.0,63.8,0,Retired
14,Driver 14,0,N/A,N/A,100.0,37.9,0,Retired
15,Driver 15,3,90.000,90.000,100.0,100.0,0,Retired
16,Driver 16,1,90.000,90.000,100.0,100.0,0,Retired
17,Driver 17,0,N/A,N/A,100.0,48.6,0,Retired
18,Driver 18,2,90.000,90.000,100.0,100.0,0,Retired
19,Driver 19,0,N/A,N/A,100.0,47.8,0,Retired
20,Driver 20,1,90.000,90.000,100.0,100.0,0,Retired
