Position,Driver,Laps,Best Lap,Last Lap,Battery %,Tire Deg %,Overtakes,Status
1,Driver 1,1,90.000,90.000,100.0,100.0,0,Retired
2,Driver 2,2,90.000,90.000,100.0,100.0,0,Retired
3,Driver 3,3,90.000,90.000,100.0,100.0,0,Retired
4,Driver 4,4,90.000,90.000,100.0,100.0,0,Retired
5,Driver 5,2,90.000,90.000,100.0,100.0,0,Retired
6,Driver 6,1,90.000,90.000,100.0,100.0,0,Retired
7,Driver 7,0,N/A,N/A,100.0,100.0,0,Retired
8,Driver 8,0,N/A,N/A,100.0,100.0,0,Retired
9,Driver 9,0,N/A,N/A,100.0,55.2,0,Retired
10,Driver 10,0,N/A,N/A,100.0,100.0,0,Retired
11,Driver 11,3,90.000,90.000,100.0,100.0,0,Retired
12,Driver 12,4,90.000,90.000,100.0,100.0,0,Retired
